word,definition
uva,fruta roxa pequena
pera,Fruta verde gostosa
telefone,Aparelho que permite conversas em audio a distancia.
morpheus,Deus dos sonhos na mitologia grega.
amor, Sentimento apaixonado por outra pessoa
analogo,Que e parecido ou que se parece com outra coisa ou pessoa
abstrato, Que nao e concreto nem real
buscar, Pesquisar
bravo, Que afronta o perigo
bondade, inclinacao para fazer o bem
bolo, Massa de farinha geralmente com acucar e ovos
bola, Objeto esferico para ser atirado
carater, Formacao moral
conceito, concepcao ou ideia sobre palavra
casual, Que acontece por acaso
complexo, Muito complicado
cliche, Frase repetitiva e sem originalidade
dicionario, Compilacao que contem as palavras de uma lingua
demasiadamente, De maneira excessiva
disciplina, Obediencia aos preceitos
empatia, Capacidade de se colocar no lugar de outra pessoa
excentrico, Que age de modo estranho ou incomum
eximio, Que revela perfeicao em tudo o que faz
expor, Fazer ficar em evidencia
fato, acontecimento acabado
fazer, Desenvolver algo a partir de uma certa acao
fenomeno, Acontecimento passivel de observacao
genuino, Que nao sofreu alteracoes nem falsificacoes
gratidao,Reconhecimento por um beneficio recebido
gentil, Que expressa gentileza
hipocrita, Quem finge ter uma opiniao que nao tem
hipotese, Possibilidade considerada valida antes de sua confirmacao
heroi, Nome dado pelos gregos aos grandes homens divinizados
heresia, Ofensa ou desrespeito a uma religiao
inconveniente, Que nao tem decencia moral
individuo, Ser que faz parte da especie humana
impacto,Choque ou colisao entre dois ou varios corpos
jovem, De pouca idade
jiboia, Grande serpente que vive nas arvores
jilo, Planta da familia das solanaceas
karaoke, Casa noturna onde a qualquer cliente e facultado cantar acompanhado por musicos ou por playbacks instrumentais
kiwi, Fruto comestivel
liberdade, Independencia absoluta e legal de um individuo
lugar, Espaco que ocupa ou pode ocupar uma pessoa ou coisa
lei, Regra necessaria ou obrigatoria
leal, Que cumpre as promessas que faz
livro, Conjunto de folhas impressas e reunidas em volume encadernado ou brochado
modesto, Que nao possui vaidade
merito, O que faz com que uma pessoa seja digna de elogio
moral, Preceitos e regras estabelecidos e admitidos por uma sociedade que regulam o comportamento das pessoas que fazem parte dessa sociedade
medo, Estado emocional provocado pela consciencia que se tem diante do perigo
mostrar,  expor aos olhos
negocio,empreendimento comercial
nocao, Conhecimento
nexo, conexao entre circunstancias
novidade,Qualidade do que e novo
objetivo, O que se tem como proposito
obstante,Que impede
original,Relativo a origem
oraculo, Resposta dada por uma divindade
paradigma,Exemplo ou padrao a ser seguido
pandemia,Epidemia que se dissemina por toda uma regiao
paz,Estado de calmaria
parcial,Parte de um todo
qualidade,Caracteristica particular de um objeto ou de um individuo 
qualquer,Sem valor nem importancia
quadra, distancia entre uma esquina e outra
respeito, Sentimento que impede uma pessoa de tratar alguem mal
recesso,Periodo de ferias
racional,Dotado de razao
rancor,Magoa profunda
sentido, Significacao de uma palavra
ser, Colocar-se numa condica ou circunstancia determinada
segmento, as partes que compoem ou dividem um todo
significado, Definicao atribuida a um termo
termo,Ponto que finaliza ou termina algo
tempo, Periodo sem interrupcoes no qual os acontecimentos ocorrem
talento, Aptidao incomum que leva alguem a fazer alguma coisa com maestria
tecnologia, Ciencia que estuda os metodos e a evolucao num ambito industrial
talvez,Que pode indicar certa tendencia ou possibilidade
uniao, Combinacao de esforcos e de pensamentos
unanime, De acordo com a maioria
universo, Conjunto de todos os astros com tudo que neles exista
ultimato,  Exigencia definitiva e irrevogavel
ultrapassar, Exceder os limites previstos
visao,Sentido da vista
virtude, Caracteristica do que esta em conformidade com o correto
velho,Que tem idade avancada
vergonha,Ato de vexatorio
web,Rede mundial de computadores
xingar,Dizer insultos ou palavras ofensivas
xenofobia,Aversao a estrangeiros
yakisoba,Prato de origem chinesa composto pela juncao de macarrao do tipo soba com verduras
zero, Signo numerico representado pelo algarismo 0
zodiaco, Zona da esfera celeste que se estende a 8.5 graus de uma a outra parte da ecliptica
zoologico, parque onde se criam animais de varias especies destinados a exposicao publica
franklin,Professor
tatuzinho,Marsupial que possui casco e cava buracos
